App Name,Type,Id,Verification Status,Users,Org Unit,Access,Scopes for Specific Google Data,Requested Services,Requested Services with Scopes,Ownership
GAM7,Web Application,65294736900-cmqn8e0tb4r1gsrd819khi5m1vct6jkd.apps.googleusercontent.com,Not verified,0,/,Trusted,[],[],[],Internal
gam7,Web Application,307432799489-2c81v4a30bde7clo74ncqtngn889ghhu.apps.googleusercontent.com,Not verified,0,/,Trusted,[],[],[],Internal
Wayground (formerly Quizizz),Web Application,58172892053-6laet7k6ls3k5va0jija3b175sm3jjms.apps.googleusercontent.com,Verified,4,/,Trusted,[],"[Classroom, Drive, GSuite Admin, Google Sign-in]","[Classroom : [https://www.googleapis.com/auth/classroom.announcements, https://www.googleapis.com/auth/classroom.courses, https://www.googleapis.com/auth/classroom.coursework.students, https://www.googleapis.com/auth/classroom.profile.emails, https://www.googleapis.com/auth/classroom.rosters, https://www.googleapis.com/auth/classroom.student-submissions.students.readonly] | Drive : [https://www.googleapis.com/auth/drive.file] | GSuite Admin : [https://www.googleapis.com/auth/admin.directory.group.readonly, https://www.googleapis.com/auth/admin.directory.user.readonly] | Google Sign-in : [https://www.googleapis.com/auth/userinfo.email, https://www.googleapis.com/auth/userinfo.profile, openid]]",Third party
Quizizz,Android,com.google.enterprise.webapp.xeca034b3fe0c6828,Not verified,0,/,Trusted,[],[],[],Unknown
Canva,Android,779010036194-2tkv9r6fe23c6ea2ipj43auehhaj9eec.apps.googleusercontent.com,Verified,0,/,Trusted,[],[],[],Third party
Canva,Web Application,779010036194-lf6spugv22vvj41pqjdj4d8k2tq7o5fd.apps.googleusercontent.com,Verified,16,/,Trusted,[],[Google Sign-in],"[Google Sign-in : [https://www.googleapis.com/auth/userinfo.email, https://www.googleapis.com/auth/userinfo.profile, openid]]",Third party
,Web Application,779010036194-ircisfun8o70il267dbd8fh5cs8pa4gk.apps.googleusercontent.com,Not verified,0,/,Trusted,[],[],[],Unknown
,Web Application,779010036194-ircisfun8o70il267dbd8fh5cs8pa4gk.apps.googleusercontent.com,Not verified,0,/AA School/Students,Trusted,[],[],[],Unknown
Mailsuite,Web Application,224054973946.apps.googleusercontent.com,Verified,0,/,Trusted,[],[],[],Third party
Apple Business Manager,Web Application,821073268825-uj405qcuu2pbpq5ab05rsupc98ldq2ou.apps.googleusercontent.com,Verified,2,/,Trusted,[],"[GSuite Admin, Google Sign-in]","[GSuite Admin : [https://www.googleapis.com/auth/admin.directory.domain.readonly, https://www.googleapis.com/auth/admin.directory.user.readonly, https://www.googleapis.com/auth/admin.reports.audit.readonly] | Google Sign-in : [https://www.googleapis.com/auth/userinfo.email, https://www.googleapis.com/auth/userinfo.profile, openid]]",Third party
Google Device Policy,iOS,com.google.DevicePolicy,Not verified,0,/,Trusted,[],[],[],Unknown
Google Device Policy,iOS,com.google.DevicePolicy,Not verified,0,,-,[],[],[],Unknown
OrbitNote,Web Application,243341882805-ifm1nlmmaiphpqltrhc3am7tf31cttc2.apps.googleusercontent.com,Verified,0,/,Trusted,[],[],[],Third party
OrbitNote,Web Application,243341882805-gqvp3jffcpj3bn588oeum6i0rdvq9lgj.apps.googleusercontent.com,Verified,0,/,Trusted,[],[],[],Third party
OrbitNote,Web Application,243341882805-gldjffc0aa5angvaauku8kjdnenian8t.apps.googleusercontent.com,Verified,0,/,Trusted,[],[],[],Third party
OrbitNote,Web Application,243341882805-fav9vbuf7c132v7lkvav10h32o5gds7q.apps.googleusercontent.com,Verified,0,/,Trusted,[],[],[],Third party
OrbitNote,Web Application,243341882805-ah59e7mg9ccjnft0nu5mgopk60k4u2bs.apps.googleusercontent.com,Verified,0,/,Trusted,[],[],[],Third party
OrbitNote,Web Application,243341882805-4e3fs19mqa8olc5e8vt86chmk0eejpl1.apps.googleusercontent.com,Verified,0,/,Trusted,[],[],[],Third party
WeDo 2.0 LEGO® Education,Android,com.lego.education.wedo,Not verified,0,/,Trusted,[],[],[],Unknown
SPIKE™ Legacy LEGO® Education,Android,com.lego.education.spike,Not verified,0,/,Trusted,[],[],[],Unknown
Grasshopper,Web Application,531246522847-cpii92d27guqb6mrvgtc8skipar03g1f.apps.googleusercontent.com,Not verified,0,/,Trusted,[],[],[],Third party
Zoho CalSync,Android,com.zoho.calendar.sync,Not verified,0,/,Trusted,[],[],[],Unknown
